sid,dropout,male,race_num,math_ss,read_ss,scale_score_11_math,scale_score_11_read,gifted,ever_alternative,iep,pct_days_absent,gpa,frpl,ell
2,0,0.0,0,-1.0,-1.0,18.0,19.0,0,1,0,10.664031,1.23,1.0,0
5,0,0.0,0,18.0,46.0,16.0,18.0,0,0,0,0.96900493,2.8227949,1.0,0
12,1,0.0,0,18.0,35.0,-1.0,-1.0,0,1,0,4.746706,0.33000001,0.0,0
13,0,0.0,0,48.0,80.0,23.0,27.0,0,0,1,6.850071000000001,2.9850001,1.0,0
14,0,1.0,0,18.0,30.0,16.0,14.0,0,0,0,5.802631400000001,2.1185,1.0,0
15,0,0.0,0,18.0,30.0,15.0,14.0,0,0,0,8.4662762,1.705,1.0,0
16,0,1.0,0,31.0,51.0,15.0,11.0,0,1,0,1.9733728,2.6607499,1.0,0
19,1,1.0,0,-1.0,-1.0,-1.0,-1.0,0,1,0,2.9497039000000003,-1.0,0.0,0
21,0,1.0,1,0.0,24.0,-1.0,-1.0,0,1,1,24.675926,2.0205002,1.0,0
25,0,0.0,0,14.0,34.0,13.0,12.0,0,0,0,6.177143099999999,2.7610002000000002,1.0,0
27,0,1.0,0,26.0,23.0,15.0,17.0,0,0,0,5.0014324,3.0005,1.0,0
30,1,0.0,0,55.0,66.0,-1.0,-1.0,0,1,0,13.785585999999999,3.173095,1.0,0
31,0,0.0,4,61.0,68.0,35.0,34.0,1,0,0,1.1957142,4.0,0.0,0
32,0,1.0,0,19.0,28.0,15.0,14.0,0,1,0,0.76592594,3.2189999,1.0,0
37,0,1.0,0,52.0,51.0,21.0,17.0,0,0,0,3.4701602,2.6855001,1.0,0
42,0,0.0,0,51.0,61.0,18.0,25.0,1,1,0,9.620952599999999,2.75705,0.0,0
44,0,0.0,0,72.0,51.0,20.0,21.0,1,1,0,7.4352775,3.7153449,0.0,0
47,0,0.0,0,39.0,34.0,16.0,19.0,0,0,0,10.391369000000001,2.7395,1.0,0
49,0,1.0,1,50.0,57.0,19.0,24.0,0,1,0,5.1275969,2.5878501,0.0,0
50,0,1.0,0,-1.0,-1.0,18.0,19.0,0,0,0,2.2182596,2.80515,1.0,0
51,0,1.0,2,21.0,17.0,15.0,14.0,0,0,0,13.774510000000001,1.7774999,1.0,0
52,0,1.0,0,14.0,0.0,17.0,18.0,0,0,0,8.0747805,2.5450001,1.0,0
54,1,0.0,0,72.0,66.0,-1.0,-1.0,1,1,0,7.4514108,3.6487,0.0,0
57,0,0.0,1,21.0,45.0,15.0,21.0,0,0,0,9.1897287,1.4322001,1.0,0
59,1,0.0,3,24.0,45.0,-1.0,-1.0,0,0,1,24.603687,0.80000001,1.0,0
