,dropout,male,math_ss,read_ss,gifted,ever_alternative,iep,pct_days_absent,gpa,frpl,ell,race_num
0,0,0.0,-1.0,-1.0,0,1,0,10.664031,1.23,1.0,0,0
1,0,0.0,18.0,46.0,0,0,0,0.96900493,2.8227949,1.0,0,0
2,1,0.0,18.0,35.0,0,1,0,4.746706,0.33000001,0.0,0,0
3,0,0.0,48.0,80.0,0,0,1,6.850071000000001,2.9850001,1.0,0,0
4,0,1.0,18.0,30.0,0,0,0,5.802631400000001,2.1185,1.0,0,0
5,0,0.0,18.0,30.0,0,0,0,8.4662762,1.705,1.0,0,0
6,0,1.0,31.0,51.0,0,1,0,1.9733728,2.6607499,1.0,0,0
7,1,1.0,-1.0,-1.0,0,1,0,2.9497039000000003,-1.0,0.0,0,0
8,0,1.0,0.0,24.0,0,1,1,24.675926,2.0205002,1.0,0,1
9,0,0.0,14.0,34.0,0,0,0,6.177143099999999,2.7610002000000002,1.0,0,0
10,0,1.0,26.0,23.0,0,0,0,5.0014324,3.0005,1.0,0,0
11,1,0.0,55.0,66.0,0,1,0,13.785585999999999,3.173095,1.0,0,0
12,0,0.0,61.0,68.0,1,0,0,1.1957142,4.0,0.0,0,4
13,0,1.0,19.0,28.0,0,1,0,0.76592594,3.2189999,1.0,0,0
14,0,1.0,52.0,51.0,0,0,0,3.4701602,2.6855001,1.0,0,0
15,0,0.0,51.0,61.0,1,1,0,9.620952599999999,2.75705,0.0,0,0
16,0,0.0,72.0,51.0,1,1,0,7.4352775,3.7153449,0.0,0,0
17,0,0.0,39.0,34.0,0,0,0,10.391369000000001,2.7395,1.0,0,0
18,0,1.0,50.0,57.0,0,1,0,5.1275969,2.5878501,0.0,0,1
19,0,1.0,-1.0,-1.0,0,0,0,2.2182596,2.80515,1.0,0,0
20,0,1.0,21.0,17.0,0,0,0,13.774510000000001,1.7774999,1.0,0,2
21,0,1.0,14.0,0.0,0,0,0,8.0747805,2.5450001,1.0,0,0
22,1,0.0,72.0,66.0,1,1,0,7.4514108,3.6487,0.0,0,0
23,0,0.0,21.0,45.0,0,0,0,9.1897287,1.4322001,1.0,0,1
24,1,0.0,24.0,45.0,0,0,1,24.603687,0.80000001,1.0,0,3
25,0,1.0,42.0,59.0,0,0,0,14.963225,1.9709999999999999,1.0,0,1
26,0,1.0,58.0,61.0,0,0,0,4.2731152,3.4429998,1.0,0,0
