sid,school_year,grade_level,frpl,iep,ell,gifted,total_days_enrolled,total_days_absent,days_suspended_out_of_school
1,2004,9,"N",0,0,0,210,14,0
1,2005,9,"N",0,0,0,210,6,0
1,2006,10,"R",0,0,0,210,1,0
1,2007,11,"R",0,0,0,210,5,0
2,2006,10,"F",0,0,0,172,22,0
2,2007,11,"F",0,0,0,172,57,2
3,2006,10,"F",0,0,0,228,7,0
3,2007,8,"F",0,0,0,228,15,0
3,2007,9,"F",0,0,0,228,15,0
4,2005,11,"N",0,0,0,184,7,0
4,2006,10,"N",0,0,0,184,7,0
4,2007,9,"N",0,0,0,184,60,11
5,2007,3,"R",0,0,0,209,35,0
5,2007,2,"R",0,0,0,209,35,0
6,2007,8,"R",1,0,0,214,8,0
6,2008,9,"R",1,0,0,261,7,0
6,2009,10,"R",1,0,0,286,95,7
7,2004,8,"N",0,0,0,286,16,0
7,2005,9,"N",0,0,0,287,7,0
7,2006,10,"N",0,0,0,282,7,0
7,2007,11,"N",0,0,0,283,3,0
7,2008,12,"N",0,0,0,281,17,0
8,2004,7,"N",0,0,0,150,9,0
8,2005,8,"N",0,0,0,169,0,0
8,2006,8,"N",0,0,0,282,0,0
8,2007,9,"N",0,0,0,126,8,0
9,2004,7,"F",0,1,0,286,25,0
9,2005,8,"F",0,0,0,285,0,0
9,2006,9,"F",0,0,0,254,68,2
9,2007,9,"F",0,0,0,235,1,0
10,2004,8,"N",0,0,0,286,67,2
10,2005,9,"N",0,0,0,293,8,0
10,2006,10,"N",0,0,0,282,8,0
10,2007,11,"N",0,0,0,283,9,0
10,2008,12,"N",0,0,0,281,2,0
11,2008,10,"N",0,0,0,61,86,7
12,2008,9,"F",0,0,0,281,1,0
12,2009,10,"F",1,0,0,147,35,0
13,2008,11,"N",0,0,0,281,0,0
13,2009,10,"N",0,0,0,286,1,0
14,2004,6,"N",0,0,0,286,1,0
14,2005,7,"N",0,0,0,287,18,0
14,2006,8,"N",0,0,0,282,1,0
14,2007,9,"N",0,0,0,283,8,0
14,2008,10,"N",0,0,0,281,5,0
14,2009,11,"N",0,0,1,286,7,0
15,2005,9,"F",0,0,0,108,40,3
15,2006,10,"F",0,0,0,192,18,0
16,2007,11,"N",0,0,0,135,3,0
16,2008,12,"N",0,0,0,281,9,0
17,2004,8,"N",0,0,0,286,29,1
17,2005,9,"N",0,0,0,344,9,0
18,2005,6,"N",0,0,0,287,1,0
18,2006,7,"N",0,0,1,282,46,5
18,2007,8,"N",0,0,1,283,22,0
18,2008,9,"N",0,0,1,281,23,0
18,2009,10,"N",0,0,1,286,22,0
19,2004,8,"N",0,0,0,286,11,0
19,2005,9,"N",0,0,0,29,0,0
20,2008,12,"N",0,0,0,143,5,0
21,2004,6,"F",0,0,0,286,2,0
21,2005,7,"F",0,0,0,285,7,0
21,2006,8,"F",0,0,0,276,0,0
