sid,record_found_yn,enrollment_begin,enrollment_end,college_code_branch,college_name,college_state,yr2_yr4,public_private,enrollment_status,graduated,graduation_date,college_sequence,degree_title,major
7,"N",,,"","","","","","","N",,,"",""
10,"Y",20100109,20100503,"746460-00","COMMUNITY COLLEGE 400","FL","2-year","Public","L","N",,1,"",""
10,"Y",20090523,20090814,"746460-00","COMMUNITY COLLEGE 400","FL","2-year","Public","L","N",,1,"",""
10,"Y",20090110,20090505,"746460-00","COMMUNITY COLLEGE 400","FL","2-year","Public","H","N",,1,"",""
10,"Y",20090829,20091215,"746460-00","COMMUNITY COLLEGE 400","FL","2-year","Public","L","N",,1,"",""
10,"Y",20080830,20081216,"746460-00","COMMUNITY COLLEGE 400","FL","2-year","Public","F","N",,1,"",""
16,"Y",20090829,20091215,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
20,"Y",20080819,20081012,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","W","N",,1,"",""
24,"Y",20100109,20100503,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
24,"Y",20090829,20091215,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
30,"Y",20090829,20091215,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
33,"Y",20090523,20090814,"938803-00","COMMUNITY COLLEGE C","TX","2-year","Public","L","N",,2,"",""
33,"Y",20090822,20091215,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
33,"Y",20100107,20100511,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
33,"Y",20080823,20081216,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
33,"Y",20090118,20090513,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
34,"N",,,"","","","","","","N",,,"",""
36,"Y",20090822,20091217,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
36,"Y",20100116,20100512,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
38,"Y",20100109,20100503,"644448-00","A COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
38,"Y",20080830,20081216,"644448-00","A COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
38,"Y",20090110,20090505,"644448-00","A COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
38,"Y",20090829,20091215,"644448-00","A COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
38,"Y",20080524,20080815,"644448-00","A COMMUNITY COLLEGE","NY","2-year","Public","L","N",,1,"",""
38,"Y",20090523,20090814,"644448-00","A COMMUNITY COLLEGE","NY","2-year","Public","L","N",,1,"",""
40,"Y",20090822,20091216,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
40,"Y",20100117,20100511,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
41,"Y",20100109,20100510,"545243-00","UNIVERSITY OF C","TX","4-year","Private","F","N",,2,"",""
41,"Y",20080830,20081216,"583178-00","COMMUNITY COLLEGE 4","CA","2-year","Public","F","N",,1,"",""
41,"Y",20090829,20091215,"583178-00","COMMUNITY COLLEGE 4","CA","2-year","Public","F","N",,1,"",""
41,"Y",20090110,20090327,"583178-00","COMMUNITY COLLEGE 4","CA","2-year","Public","W","N",,1,"",""
43,"Y",20090829,20091215,"564728-00","E COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
43,"Y",20100109,20100503,"564728-00","E COMMUNITY COLLEGE","NY","2-year","Public","H","N",,1,"",""
51,"Y",20080830,20081216,"19757-00","COMMUNITY COLLEGE 500","FL","2-year","Public","L","N",,1,"",""
56,"Y",20090110,20090505,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","H","N",,1,"",""
56,"Y",20090829,20091215,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","L","N",,1,"",""
56,"Y",20100109,20100503,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","H","N",,1,"",""
56,"Y",20080830,20081216,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
56,"Y",20090523,20090814,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
67,"Y",20100116,20100512,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
67,"Y",20090822,20091217,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
73,"Y",20100109,20100503,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","H","N",,1,"",""
73,"Y",20090829,20091215,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","L","N",,1,"",""
74,"Y",20090822,20091217,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
74,"Y",20090117,20090514,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
74,"Y",20080823,20081218,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
74,"Y",20100116,20100512,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
77,"Y",20090822,20091217,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
77,"Y",20100116,20100512,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
79,"Y",20100116,20100512,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
79,"Y",20090822,20091217,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
80,"N",,,"","","","","","","N",,,"",""
96,"Y",20100109,20100503,"27037-00","HKL COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
96,"Y",20090110,20090505,"27037-00","HKL COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
96,"Y",20090829,20091215,"27037-00","HKL COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
96,"Y",20080830,20081216,"27037-00","HKL COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
97,"Y",20100116,20100512,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
97,"Y",20090822,20091217,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
98,"Y",20090822,20091217,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
98,"Y",20100116,20100512,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
99,"Y",20100116,20100512,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
99,"Y",20090822,20091217,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
101,"N",,,"","","","","","","N",,,"",""
103,"N",,,"","","","","","","N",,,"",""
109,"Y",20100104,20100125,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
