sid,Urbanicity_City: Large,Urbanicity_City: Small,Urbanicity_Rural: Distant,Urbanicity_Rural: Fringe,Urbanicity_Rural: Remote,Urbanicity_Suburb: Large,Urbanicity_Suburb: Mid-size,Urbanicity_Suburb: Small,Urbanicity_Town: Distant,Urbanicity_Town: Fringe,Urbanicity_Town: Remote,dropout,urbanicity
2,0,0,1,0,0,0,0,0,0,0,0,1.0,Rural: Distant
5,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
12,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
13,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
14,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
15,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
16,0,0,0,0,0,0,0,0,0,0,0,0.0,
19,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
21,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
25,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
27,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
30,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
31,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
32,0,0,0,0,0,0,0,0,0,0,1,1.0,Town: Remote
37,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
42,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
44,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
47,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
49,0,0,0,0,0,0,0,0,1,0,0,1.0,Town: Distant
50,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
51,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
52,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
54,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
57,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
59,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
60,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
62,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
64,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
65,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
67,0,0,0,0,1,0,0,0,0,0,0,1.0,Rural: Remote
71,0,0,0,0,0,0,1,0,0,0,0,0.0,Suburb: Mid-size
76,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
77,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
78,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
79,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
81,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
88,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
89,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
90,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
91,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
92,0,0,0,0,0,0,0,0,0,1,0,0.0,Town: Fringe
93,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
94,0,0,0,0,0,0,0,0,0,0,1,1.0,Town: Remote
98,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
100,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
102,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
103,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
105,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
108,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
110,0,0,0,0,0,0,0,0,1,0,0,1.0,Town: Distant
111,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
118,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
121,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
122,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
123,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
125,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
126,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
127,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
128,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
130,0,0,0,0,0,0,1,0,0,0,0,1.0,Suburb: Mid-size
131,0,0,0,0,0,1,0,0,0,0,0,1.0,Suburb: Large
133,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
136,0,0,0,0,0,0,0,0,1,0,0,1.0,Town: Distant
142,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
146,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
147,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
151,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
155,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
156,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
157,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
158,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
160,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
161,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
162,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
163,0,0,0,0,1,0,0,0,0,0,0,1.0,Rural: Remote
