sid,school_year,male,race_ethnicity,birth_date,first_9th_school_year_reported,hs_diploma,hs_diploma_type,hs_diploma_date
1,2004,1,"B",10869,2004,0,"",
1,2005,1,"H",10869,2004,0,"",
1,2006,1,"H",10869,2004,0,"",
1,2007,1,"H",10869,2004,0,"",
2,2006,0,"W",11948,,1,"Standard Diploma",05jun2008
2,2007,0,"B",11948,,1,"College Prep Diploma",24may2009
3,2006,1,"H",11724,2007,0,"",
3,2006,1,"B",11724,2007,0,"",
3,2007,1,"B",11724,2007,0,"",
4,2005,0,"B",12717,2007,1,"Standard Diploma",04jun2009
4,2006,0,"B",12717,2007,1,"Standard Diploma",04jun2009
4,2007,0,"B",12717,2007,1,"Standard Diploma",04jun2009
5,2007,1,"B",,,0,"",
6,2007,1,"H",12055,2008,0,"",
6,2008,1,"H",12055,2008,0,"",
6,2009,1,"H",12055,2008,0,"",
7,2004,1,"H",10960,2005,1,"Standard Diploma",14may2008
7,2005,1,"H",10960,2005,1,"Standard Diploma",14may2008
7,2006,1,"H",10960,2005,1,"Standard Diploma",14may2008
7,2007,0,"H",10960,2005,1,"Standard Diploma",14may2008
7,2008,1,"H",10960,2005,1,"Standard Diploma",14may2008
8,2004,1,"H",11691,2007,0,"",
8,2005,1,"H",11691,2007,0,"",
8,2006,1,"H",11691,2007,0,"",
8,2007,1,"H",11691,2007,0,"",
9,2004,1,"H",11326,2006,0,"",
9,2005,1,"H",11326,2006,0,"",
9,2006,1,"H",11326,2006,0,"",
9,2007,1,"H",11326,2007,0,"",
10,2004,1,"W",10962,2005,1,"Standard Diploma",14may2008
10,2005,1,"W",10962,2005,1,"Standard Diploma",14may2008
10,2006,1,"W",10962,2005,1,"Standard Diploma",14may2008
10,2007,1,"W",10962,2005,1,"Standard Diploma",14may2008
10,2008,1,"W",10962,2005,1,"Standard Diploma",14may2008
11,2008,1,"W",11692,,0,"",
12,2008,1,"W",12058,2008,0,"",
12,2009,1,"W",12058,2008,0,"",
13,2008,1,"H",12059,2008,0,"",
13,2009,1,"H",12059,2008,0,"",
14,2004,1,"W",11693,2007,0,"",
14,2005,1,"W",11693,2007,0,"",
14,2006,1,"W",11693,2006,0,"",
14,2007,1,"W",11693,2007,0,"",
14,2008,1,"W",11693,2007,0,"",
14,2009,1,"W",11693,2007,0,"",
15,2005,1,"H",10963,2005,0,"",
15,2006,1,"H",10963,2005,0,"",
16,2007,1,"W",10964,,1,"Standard Diploma",14may2008
16,2008,1,"W",10964,,1,"College Prep Diploma",14may2008
17,2004,1,"H",10966,2005,0,"",
17,2005,1,"H",10966,2005,0,"",
18,2005,1,"H",12062,2008,0,"",
18,2006,1,"H",12062,2008,0,"",
18,2007,1,"H",12062,2008,0,"",
18,2008,1,"H",12062,2008,0,"",
18,2009,1,"H",12062,2008,0,"",
19,2004,1,"W",10967,2005,0,"",
19,2005,1,"W",10967,2005,0,"",
20,2008,1,"H",10968,,1,"Standard Diploma",14may2008
20,2008,1,"H",10968,,1,"College Prep Diploma",14may2008
21,2004,1,"NA",11699,2007,0,"",
21,2005,1,"NA",11699,2007,0,"",
21,2006,1,"NA",11699,2007,0,"",
21,2007,1,"NA",11699,2007,0,"",
21,2008,1,"NA",11699,2007,0,"",
21,2009,1,"NA",11699,2007,0,"",
22,2007,1,"H",12065,2008,0,"",
22,2008,1,"H",12065,2008,0,"",
22,2009,1,"H",12065,2008,0,"",
23,2004,1,"H",11700,2007,0,"",
23,2005,1,"H",11700,2007,0,"",
23,2006,1,"H",11700,2007,0,"",
23,2007,1,"H",11700,2007,0,"",
23,2008,1,"H",11700,2007,0,"",
23,2009,1,"H",11700,2007,0,"",
24,2004,1,"H",11335,2006,1,"Standard Diploma",17may2009
24,2005,1,"H",11335,2006,1,"Standard Diploma",17may2009
24,2006,1,"H",11335,2006,1,"Standard Diploma",17may2009
24,2007,1,"H",11335,2006,1,"Standard Diploma",17may2009
24,2008,1,"H",11335,2006,1,"Standard Diploma",17may2009
24,2009,1,"H",11335,2006,1,"Standard Diploma",17may2009
25,2005,1,"H",12066,2008,0,"",
25,2006,1,"H",12066,2008,0,"",
25,2007,1,"H",12066,2008,0,"",
25,2008,1,"H",12066,2008,0,"",
25,2009,1,"H",12066,2008,0,"",
26,2005,1,"W",12067,2008,0,"",
26,2006,1,"W",12067,2008,0,"",
26,2008,1,"W",12067,2008,0,"",
26,2009,1,"W",12067,2008,0,"",
27,2004,1,"H",11701,2007,0,"",
27,2005,1,"H",11701,2007,0,"",
27,2006,1,"H",11701,2007,0,"",
